cps19_religion,cps19_province,cps19_yob,cps19_employment,cps19_gender,cps19_education,cps19_imm,cps19_bornin_canada,cps19_econ_retro,cps19_own_fin_retro,pes19_votechoice2019,pes19_nativism1,pes19_nativism5,pes19_immigjobs,age,attitude,cpes19_immigjobs,cpes19_nativism1,cpes19_nativism5
Catholic,Ontario,33,Retired,Female,Bachelor degree,Fewer immigrants,Canadian,Stayed about the same,3,Liberal,Strongly agree,Strongly agree,Somewhat agree,67,1.0,4.0,5.0,5.0
Catholic,New Brunswick,24,Retired,Male,Bachelor degree,More immigrants,Canadian,Stayed about the same,2,Conservative,Somewhat agree,Strongly disagree,Strongly disagree,76,3.0,1.0,4.0,1.0
Atheist,Nova Scotia,39,Retired,Female,Some technical,About the same number of immigrants as now,Canadian,Got better,1,Liberal,Somewhat agree,Somewhat disagree,Somewhat disagree,61,2.0,2.0,4.0,2.0
United Church of Canada,Ontario,22,Retired,Male,Bachelor degree,About the same number of immigrants as now,Canadian,Stayed about the same,2,Liberal,Somewhat agree,Somewhat disagree,Somewhat disagree,78,2.0,2.0,4.0,2.0
Catholic,New Brunswick,31,Retired,Female,Some university,More immigrants,Canadian,Stayed about the same,3,Liberal,Somewhat agree,Somewhat disagree,Somewhat disagree,69,3.0,2.0,4.0,2.0
Catholic,Alberta,81,Working for pay part-time,Female,Completed secondary/ high school,More immigrants,Canadian,Got worse,2,NDP,Neither agree nor disagree,Strongly disagree,Strongly disagree,19,3.0,1.0,3.0,1.0
Catholic,Alberta,61,Working for pay full-time,Male,Professional degree or doctorate,More immigrants,Immigrant,Stayed about the same,2,NDP,Somewhat agree,Strongly disagree,Strongly disagree,39,3.0,1.0,4.0,1.0
Atheist,Quebec,77,Student,Female,Bachelor degree,More immigrants,Immigrant,Got better,2,Liberal,Somewhat agree,Strongly disagree,Somewhat disagree,23,3.0,2.0,4.0,1.0
Catholic,New Brunswick,26,Self employed,Male,Professional degree or doctorate,More immigrants,Immigrant,Got better,1,Liberal,Somewhat agree,Somewhat disagree,Strongly disagree,74,3.0,1.0,4.0,2.0
Atheist,Alberta,51,Working for pay full-time,Female,Completed technical,About the same number of immigrants as now,Canadian,Got worse,3,Liberal,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,49,2.0,3.0,4.0,3.0
Atheist,British Columbia,39,Retired,Female,Completed technical,About the same number of immigrants as now,Canadian,Stayed about the same,2,NDP,Somewhat disagree,Somewhat disagree,Strongly disagree,61,2.0,1.0,2.0,2.0
Catholic,Ontario,34,Retired,Male,Master degree,About the same number of immigrants as now,Canadian,Got better,2,Liberal,Strongly agree,Strongly disagree,Somewhat disagree,66,2.0,2.0,5.0,1.0
Atheist,Ontario,27,Retired,Male,Master degree,About the same number of immigrants as now,Immigrant,Got better,2,Liberal,Somewhat agree,Somewhat disagree,Somewhat disagree,73,2.0,2.0,4.0,2.0
Catholic,Prince Edward,41,Working for pay full-time,Male,Some university,About the same number of immigrants as now,Canadian,Stayed about the same,2,Green Party,Somewhat agree,Strongly disagree,Strongly disagree,59,2.0,1.0,4.0,1.0
Anglican,Alberta,41,Unemployed/ looking for work,Female,Completed technical,Fewer immigrants,Canadian,Stayed about the same,2,Liberal,Strongly agree,Neither agree nor disagree,Strongly agree,59,1.0,5.0,5.0,3.0
Catholic,Ontario,44,Working for pay full-time,Male,Completed technical,Fewer immigrants,Canadian,Got worse,1,Conservative,Strongly agree,Strongly agree,Strongly agree,56,1.0,5.0,5.0,5.0
Lutheran,Alberta,67,Working for pay full-time,Male,Completed technical,Fewer immigrants,Canadian,Stayed about the same,2,Conservative,Somewhat agree,Somewhat disagree,Somewhat disagree,33,1.0,2.0,4.0,2.0
Catholic,Quebec,49,Working for pay full-time,Female,Bachelor degree,About the same number of immigrants as now,Immigrant,Stayed about the same,2,Liberal,Neither agree nor disagree,Strongly disagree,Strongly disagree,51,2.0,1.0,3.0,1.0
Atheist,Ontario,28,Retired,Male,Completed technical,More immigrants,Immigrant,Got better,2,Liberal,Strongly agree,Strongly disagree,Strongly disagree,72,3.0,1.0,5.0,1.0
Catholic,British Columbia,68,Working for pay full-time,Male,Bachelor degree,About the same number of immigrants as now,Immigrant,Got worse,3,Not voted,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,32,2.0,4.0,3.0,3.0
Atheist,Ontario,31,Retired,Female,Bachelor degree,About the same number of immigrants as now,Canadian,Stayed about the same,2,Green Party,Neither agree nor disagree,Somewhat disagree,Strongly disagree,69,2.0,1.0,3.0,2.0
Hindu,Ontario,25,Retired,Male,Bachelor degree,Fewer immigrants,Immigrant,Got worse,2,Conservative,Strongly agree,Strongly agree,Neither agree nor disagree,75,1.0,3.0,5.0,5.0
Atheist,Ontario,40,Retired,Female,Some university,About the same number of immigrants as now,Canadian,Got worse,1,Liberal,Neither agree nor disagree,Strongly disagree,Strongly disagree,60,2.0,1.0,3.0,1.0
Atheist,British Columbia,34,Retired,Female,Completed technical,More immigrants,Canadian,Stayed about the same,2,Green Party,Neither agree nor disagree,Strongly disagree,Strongly disagree,66,3.0,1.0,3.0,1.0
Pentecostal/ Fundamentalist/ Born Again/ Evangelical,Alberta,38,Disabled,Female,Some university,About the same number of immigrants as now,Canadian,Got worse,3,Conservative,Somewhat agree,Strongly disagree,Somewhat disagree,62,2.0,2.0,4.0,1.0
Atheist,Alberta,81,Working for pay part-time,Female,Completed secondary/ high school,Fewer immigrants,Canadian,Got worse,3,NDP,Strongly agree,Neither agree nor disagree,Somewhat agree,19,1.0,4.0,5.0,3.0
Atheist,Ontario,53,Working for pay part-time,Female,Completed technical,More immigrants,Immigrant,Got worse,3,Green Party,Strongly agree,Somewhat agree,Somewhat disagree,47,3.0,2.0,5.0,4.0
Catholic,Ontario,30,Retired,Female,Some university,Fewer immigrants,Canadian,Stayed about the same,2,NDP,Somewhat agree,Strongly disagree,Strongly disagree,70,1.0,1.0,4.0,1.0
Atheist,Ontario,66,Working for pay full-time,Female,Master degree,About the same number of immigrants as now,Canadian,Got worse,1,Green Party,Somewhat disagree,Somewhat disagree,Strongly disagree,34,2.0,1.0,2.0,2.0
Catholic,Quebec,36,Retired,Male,Professional degree or doctorate,Fewer immigrants,Canadian,Stayed about the same,2,Bloc Québécois,Somewhat agree,Somewhat disagree,Somewhat disagree,64,1.0,2.0,4.0,2.0
Baptist,British Columbia,65,Working for pay full-time,Male,Some technical,Fewer immigrants,Canadian,Got worse,3,Liberal,Strongly agree,Somewhat disagree,Strongly agree,35,1.0,5.0,5.0,2.0
Atheist,Ontario,52,Working for pay full-time,Female,Completed technical,About the same number of immigrants as now,Canadian,Got better,3,Liberal,Somewhat agree,Somewhat disagree,Somewhat disagree,48,2.0,2.0,4.0,2.0
Catholic,Ontario,37,Working for pay full-time,Male,Bachelor degree,Fewer immigrants,Canadian,Stayed about the same,2,Conservative,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,63,1.0,3.0,4.0,3.0
Agnostic,British Columbia,26,Retired,Female,Bachelor degree,About the same number of immigrants as now,Immigrant,Got better,2,Liberal,Somewhat agree,Strongly disagree,Strongly disagree,74,2.0,1.0,4.0,1.0
Catholic,British Columbia,33,Retired,Male,Professional degree or doctorate,About the same number of immigrants as now,Canadian,Got worse,2,Conservative,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,67,2.0,3.0,5.0,3.0
Jewish,Ontario,36,Retired,Male,Bachelor degree,About the same number of immigrants as now,Canadian,Stayed about the same,3,Conservative,Somewhat agree,Somewhat disagree,Somewhat disagree,64,2.0,2.0,4.0,2.0
Atheist,Ontario,71,Working for pay full-time,Female,Some technical,More immigrants,Canadian,Stayed about the same,2,Liberal,Strongly disagree,Strongly disagree,Strongly disagree,29,3.0,1.0,1.0,1.0
Catholic,Quebec,21,Retired,Female,Bachelor degree,About the same number of immigrants as now,Canadian,Got better,2,Bloc Québécois,Strongly agree,Somewhat disagree,Somewhat disagree,79,2.0,2.0,5.0,2.0
Muslim,Quebec,46,Working for pay full-time,Male,Bachelor degree,More immigrants,Immigrant,Got worse,3,Liberal,Somewhat agree,Somewhat disagree,Somewhat disagree,54,3.0,2.0,4.0,2.0
Pentecostal/ Fundamentalist/ Born Again/ Evangelical,Ontario,33,Retired and working for pay,Male,Completed secondary/ high school,About the same number of immigrants as now,Canadian,Got better,3,NDP,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,67,2.0,3.0,4.0,3.0
Jewish,British Columbia,29,Self employed,Male,Professional degree or doctorate,About the same number of immigrants as now,Immigrant,Stayed about the same,2,Conservative,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,71,2.0,3.0,3.0,1.0
Catholic,Ontario,19,Retired,Female,Bachelor degree,About the same number of immigrants as now,Canadian,Stayed about the same,2,Conservative,Somewhat agree,Neither agree nor disagree,Somewhat disagree,81,2.0,2.0,4.0,3.0
Agnostic,Ontario,34,Other,Female,Completed secondary/ high school,More immigrants,Canadian,Stayed about the same,2,Liberal,Somewhat agree,Neither agree nor disagree,Strongly disagree,66,3.0,1.0,4.0,3.0
Christian Reformed,Saskatchewan,43,Working for pay part-time,Female,Some technical,Fewer immigrants,Immigrant,Got worse,3,Conservative,Strongly agree,Neither agree nor disagree,Somewhat agree,57,1.0,4.0,5.0,3.0
Jewish,Manitoba,24,Retired,Female,Master degree,More immigrants,Canadian,Stayed about the same,2,Liberal,Somewhat agree,Strongly disagree,Somewhat disagree,76,3.0,2.0,4.0,1.0
Orthodox,Alberta,53,Self employed,Male,Bachelor degree,About the same number of immigrants as now,Canadian,Got worse,3,Conservative,Strongly agree,Strongly agree,Neither agree nor disagree,47,2.0,3.0,5.0,5.0
Catholic,Ontario,21,Retired,Male,Bachelor degree,Fewer immigrants,Canadian,Stayed about the same,2,Green Party,Somewhat agree,Strongly disagree,Strongly disagree,79,1.0,1.0,4.0,1.0
Catholic,Quebec,30,Retired,Female,Some secondary/ high school,Fewer immigrants,Canadian,Got worse,3,Liberal,Strongly agree,Somewhat agree,Strongly agree,70,1.0,5.0,5.0,4.0
Catholic,Ontario,28,Retired,Male,Some university,More immigrants,Canadian,Stayed about the same,2,Liberal,Somewhat agree,Somewhat disagree,Strongly disagree,72,3.0,1.0,4.0,2.0
Catholic,Ontario,37,Retired,Female,Some university,About the same number of immigrants as now,Canadian,Got better,2,Liberal,Strongly disagree,Strongly disagree,Strongly disagree,63,2.0,1.0,1.0,1.0
Agnostic,Ontario,56,Self employed,Female,Bachelor degree,More immigrants,Canadian,Stayed about the same,2,NDP,Somewhat disagree,Strongly disagree,Strongly disagree,44,3.0,1.0,2.0,1.0
Agnostic,Ontario,30,Self employed,Female,Master degree,Fewer immigrants,Immigrant,Got worse,2,Liberal,Somewhat agree,Somewhat agree,Neither agree nor disagree,70,1.0,3.0,4.0,4.0
Anglican,Manitoba,52,Working for pay full-time,Male,Completed technical,About the same number of immigrants as now,Canadian,Stayed about the same,1,Liberal,Somewhat agree,Strongly disagree,Somewhat disagree,48,2.0,2.0,4.0,1.0
Catholic,Manitoba,40,Working for pay part-time,Female,Some technical,About the same number of immigrants as now,Canadian,Got better,2,Not voted,Neither agree nor disagree,Strongly disagree,Strongly disagree,60,2.0,1.0,3.0,1.0
Atheist,British Columbia,52,Working for pay full-time,Male,Some secondary/ high school,Fewer immigrants,Canadian,Got worse,3,Conservative,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,48,1.0,3.0,5.0,3.0
Catholic,Quebec,59,Working for pay full-time,Male,Completed technical,Fewer immigrants,Canadian,Stayed about the same,2,Conservative,Strongly agree,Somewhat agree,Somewhat disagree,41,1.0,2.0,5.0,4.0
Catholic,Newfoundland,53,Self employed,Female,Some university,About the same number of immigrants as now,Canadian,Stayed about the same,2,NDP,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,47,2.0,3.0,4.0,3.0
Catholic,Ontario,47,Working for pay full-time,Female,Bachelor degree,More immigrants,Canadian,Got better,2,Liberal,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,53,3.0,3.0,4.0,3.0
Atheist,British Columbia,60,Caring for a family,Female,Some technical,Fewer immigrants,Canadian,Got better,2,Liberal,Strongly agree,Somewhat disagree,Strongly agree,40,1.0,5.0,5.0,2.0
Atheist,Alberta,69,Working for pay full-time,Other,Bachelor degree,More immigrants,Canadian,Stayed about the same,1,Liberal,Somewhat agree,Somewhat agree,Somewhat agree,31,3.0,4.0,4.0,4.0
Catholic,Ontario,46,Working for pay part-time,Male,Completed technical,Fewer immigrants,Immigrant,Got worse,2,Conservative,Strongly agree,Strongly agree,Strongly agree,54,1.0,5.0,5.0,5.0
Atheist,Ontario,60,Working for pay full-time,Male,Some technical,About the same number of immigrants as now,Canadian,Got worse,3,Conservative,Somewhat agree,Somewhat agree,Somewhat agree,40,2.0,4.0,4.0,4.0
Protestant,Ontario,28,Retired,Female,Bachelor degree,More immigrants,Immigrant,Stayed about the same,2,Liberal,Neither agree nor disagree,Strongly disagree,Strongly disagree,72,3.0,1.0,3.0,1.0
United Church of Canada,Alberta,24,Retired,Male,Completed technical,More immigrants,Canadian,Got worse,2,Liberal,Somewhat agree,Strongly disagree,Strongly disagree,76,3.0,1.0,4.0,1.0
Catholic,New Brunswick,41,Retired,Female,Some technical,Fewer immigrants,Canadian,Stayed about the same,2,Conservative,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,59,1.0,3.0,5.0,3.0
Atheist,Prince Edward,43,Working for pay full-time,Male,Professional degree or doctorate,About the same number of immigrants as now,Canadian,Stayed about the same,1,Liberal,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,57,2.0,2.0,3.0,2.0
Agnostic,Quebec,23,Retired,Female,Master degree,More immigrants,Immigrant,Got better,1,Liberal,Strongly disagree,Strongly disagree,Strongly disagree,77,3.0,1.0,1.0,1.0
United Church of Canada,Ontario,43,Working for pay full-time,Female,Bachelor degree,About the same number of immigrants as now,Canadian,Got better,2,Liberal,Somewhat disagree,Strongly disagree,Strongly disagree,57,2.0,1.0,2.0,1.0
Catholic,Nova Scotia,68,Working for pay full-time,Female,Bachelor degree,About the same number of immigrants as now,Canadian,Got worse,1,Conservative,Somewhat agree,Somewhat disagree,Somewhat disagree,32,2.0,2.0,4.0,2.0
Catholic,Ontario,33,Working for pay part-time,Female,Bachelor degree,About the same number of immigrants as now,Canadian,Stayed about the same,2,Liberal,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,67,2.0,2.0,3.0,3.0
Baptist,Nova Scotia,56,Working for pay full-time,Female,Bachelor degree,About the same number of immigrants as now,Canadian,Got worse,2,Green Party,Somewhat agree,Somewhat disagree,Somewhat disagree,44,2.0,2.0,4.0,2.0
Atheist,British Columbia,62,Working for pay full-time,Male,Completed technical,Fewer immigrants,Canadian,Stayed about the same,2,Liberal,Somewhat agree,Somewhat disagree,Neither agree nor disagree,38,1.0,3.0,4.0,2.0
Catholic,British Columbia,37,Working for pay full-time,Female,Master degree,Fewer immigrants,Canadian,Stayed about the same,1,Green Party,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,63,1.0,3.0,5.0,3.0
Atheist,Ontario,28,Retired,Female,Bachelor degree,Fewer immigrants,Canadian,Got better,2,Green Party,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,72,1.0,3.0,4.0,3.0
Pentecostal/ Fundamentalist/ Born Again/ Evangelical,Ontario,66,Working for pay full-time,Female,Bachelor degree,About the same number of immigrants as now,Canadian,Got better,1,NDP,Neither agree nor disagree,Strongly disagree,Strongly disagree,34,2.0,1.0,3.0,1.0
Catholic,Alberta,46,Working for pay full-time,Female,Some university,Fewer immigrants,Canadian,Stayed about the same,3,NDP,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,54,1.0,3.0,5.0,3.0
Atheist,New Brunswick,54,Working for pay full-time,Female,Professional degree or doctorate,More immigrants,Canadian,Stayed about the same,2,Liberal,Strongly disagree,Strongly disagree,Strongly disagree,46,3.0,1.0,1.0,1.0
Catholic,Ontario,49,Working for pay full-time,Male,Bachelor degree,Fewer immigrants,Canadian,Stayed about the same,2,Green Party,Strongly agree,Strongly agree,Neither agree nor disagree,51,1.0,3.0,5.0,5.0
Catholic,Quebec,40,Working for pay full-time,Female,Some technical,Fewer immigrants,Immigrant,Stayed about the same,2,Liberal,Somewhat agree,Neither agree nor disagree,Somewhat agree,60,1.0,4.0,4.0,3.0
Catholic,New Brunswick,29,Retired,Male,Bachelor degree,About the same number of immigrants as now,Canadian,Stayed about the same,2,Conservative,Somewhat agree,Strongly disagree,Strongly disagree,71,2.0,1.0,4.0,1.0
Baptist,British Columbia,33,Retired,Female,Completed secondary/ high school,About the same number of immigrants as now,Canadian,Got worse,2,NDP,Neither agree nor disagree,Strongly disagree,Somewhat disagree,67,2.0,2.0,3.0,1.0
Atheist,Ontario,43,Working for pay full-time,Female,Master degree,About the same number of immigrants as now,Canadian,Stayed about the same,2,Liberal,Somewhat agree,Strongly disagree,Strongly disagree,57,2.0,1.0,4.0,1.0
Catholic,British Columbia,27,Retired,Female,Completed secondary/ high school,More immigrants,Canadian,Got better,1,NDP,Somewhat agree,Strongly disagree,Strongly disagree,73,3.0,1.0,4.0,1.0
Atheist,Ontario,73,Working for pay full-time,Female,Bachelor degree,About the same number of immigrants as now,Canadian,Got worse,1,Conservative,Somewhat agree,Neither agree nor disagree,Somewhat agree,27,2.0,4.0,4.0,3.0
Lutheran,Manitoba,25,Retired,Male,Completed secondary/ high school,About the same number of immigrants as now,Canadian,Got better,2,Liberal,Somewhat disagree,Strongly disagree,Somewhat disagree,75,2.0,2.0,2.0,1.0
Atheist,Quebec,51,Working for pay full-time,Female,Master degree,About the same number of immigrants as now,Canadian,Got better,2,Bloc Québécois,Somewhat agree,Somewhat disagree,Strongly disagree,49,2.0,1.0,4.0,2.0
Protestant,British Columbia,48,Working for pay full-time,Male,Some university,Fewer immigrants,Immigrant,Stayed about the same,3,Conservative,Somewhat agree,Somewhat disagree,Somewhat agree,52,1.0,4.0,4.0,2.0
Catholic,Quebec,40,Unemployed/ looking for work,Female,Completed secondary/ high school,About the same number of immigrants as now,Canadian,Got worse,3,Bloc Québécois,Strongly agree,Somewhat agree,Somewhat disagree,60,2.0,2.0,5.0,4.0
Anglican,Ontario,28,Retired and working for pay,Female,Some secondary/ high school,Fewer immigrants,Canadian,Got worse,3,Conservative,Strongly agree,Somewhat agree,Strongly agree,72,1.0,5.0,5.0,4.0
Atheist,Ontario,54,Working for pay full-time,Male,Bachelor degree,Fewer immigrants,Canadian,Got worse,2,Conservative,Strongly agree,Strongly agree,Somewhat agree,46,1.0,4.0,5.0,5.0
Catholic,Ontario,35,Working for pay part-time,Female,Master degree,More immigrants,Canadian,Got better,2,Liberal,Somewhat agree,Somewhat disagree,Strongly disagree,65,3.0,1.0,4.0,2.0
Catholic,Ontario,52,Working for pay full-time,Male,Bachelor degree,More immigrants,Immigrant,Stayed about the same,3,Liberal,Strongly agree,Strongly disagree,Strongly disagree,48,3.0,1.0,5.0,1.0
Catholic,Quebec,45,Working for pay full-time,Male,Completed technical,Fewer immigrants,Canadian,Got worse,3,Liberal,Somewhat agree,Somewhat disagree,Somewhat agree,55,1.0,4.0,4.0,2.0
United Church of Canada,Ontario,29,Retired,Female,Completed secondary/ high school,Fewer immigrants,Canadian,Got worse,3,Conservative,Strongly agree,Somewhat agree,Somewhat agree,71,1.0,4.0,5.0,4.0
Catholic,Alberta,21,Retired,Female,Master degree,About the same number of immigrants as now,Canadian,Stayed about the same,2,Liberal,Somewhat agree,Somewhat disagree,Somewhat disagree,79,2.0,2.0,4.0,2.0
Atheist,British Columbia,40,Working for pay full-time,Female,Bachelor degree,More immigrants,Canadian,Stayed about the same,2,NDP,Somewhat agree,Strongly disagree,Strongly disagree,60,3.0,1.0,4.0,1.0
Lutheran,British Columbia,34,Retired,Male,Some secondary/ high school,Fewer immigrants,Canadian,Got worse,3,NDP,Somewhat disagree,Somewhat agree,Neither agree nor disagree,66,1.0,3.0,2.0,4.0
Catholic,Quebec,27,Retired,Male,Master degree,About the same number of immigrants as now,Immigrant,Stayed about the same,2,NDP,Somewhat agree,Neither agree nor disagree,Somewhat disagree,73,2.0,2.0,4.0,3.0
Atheist,Ontario,41,Unemployed/ looking for work,Female,Master degree,More immigrants,Immigrant,Got better,3,Liberal,Neither agree nor disagree,Strongly disagree,Strongly disagree,59,3.0,1.0,3.0,1.0
United Church of Canada,Saskatchewan,50,Self employed,Female,Master degree,Fewer immigrants,Canadian,Got worse,3,Green Party,Somewhat agree,Neither agree nor disagree,Strongly agree,50,1.0,5.0,4.0,3.0
Catholic,Quebec,19,Retired,Male,Master degree,More immigrants,Canadian,Got better,2,Liberal,Somewhat agree,Neither agree nor disagree,Somewhat disagree,81,3.0,2.0,4.0,3.0
Catholic,Quebec,43,Working for pay full-time,Male,Completed secondary/ high school,More immigrants,Canadian,Got better,1,Liberal,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,57,3.0,3.0,2.0,2.0
Presbyterian,Ontario,28,Retired,Male,Professional degree or doctorate,About the same number of immigrants as now,Canadian,Got better,2,Liberal,Somewhat disagree,Strongly disagree,Strongly disagree,72,2.0,1.0,2.0,1.0
Atheist,British Columbia,37,Retired,Male,Completed technical,About the same number of immigrants as now,Canadian,Got worse,2,NDP,Somewhat agree,Somewhat disagree,Somewhat disagree,63,2.0,2.0,4.0,2.0
Agnostic,Quebec,32,Self employed,Male,Completed technical,Fewer immigrants,Canadian,Stayed about the same,2,Bloc Québécois,Strongly agree,Neither agree nor disagree,Somewhat disagree,68,1.0,2.0,5.0,3.0
Protestant,Ontario,30,Self employed,Male,Completed secondary/ high school,About the same number of immigrants as now,Canadian,Stayed about the same,1,Liberal,Strongly agree,Strongly disagree,Strongly disagree,70,2.0,1.0,5.0,1.0
Baptist,Ontario,72,Working for pay full-time,Male,Master degree,Fewer immigrants,Canadian,Stayed about the same,3,NDP,Strongly agree,Strongly agree,Strongly agree,28,1.0,5.0,5.0,5.0
Catholic,Quebec,67,Working for pay full-time,Male,Bachelor degree,More immigrants,Canadian,Stayed about the same,2,NDP,Neither agree nor disagree,Strongly disagree,Strongly disagree,33,3.0,1.0,3.0,1.0
Atheist,Alberta,66,Working for pay full-time,Male,Bachelor degree,Fewer immigrants,Canadian,Stayed about the same,1,Conservative,Strongly agree,Strongly agree,Strongly agree,34,1.0,5.0,5.0,5.0
Atheist,Ontario,71,Working for pay full-time,Female,Master degree,Fewer immigrants,Immigrant,Got worse,2,Conservative,Somewhat agree,Somewhat agree,Somewhat agree,29,1.0,4.0,4.0,4.0
Hindu,Ontario,66,Working for pay full-time,Male,Master degree,Fewer immigrants,Immigrant,Stayed about the same,2,Conservative,Somewhat agree,Strongly agree,Strongly agree,34,1.0,5.0,4.0,5.0
Agnostic,Ontario,68,Working for pay full-time,Female,Master degree,About the same number of immigrants as now,Canadian,Got worse,3,NDP,Somewhat agree,Strongly disagree,Somewhat disagree,32,2.0,2.0,4.0,1.0
Catholic,Quebec,57,Working for pay full-time,Female,Completed technical,About the same number of immigrants as now,Immigrant,Got worse,3,Green Party,Strongly agree,Strongly disagree,Strongly disagree,43,2.0,1.0,5.0,1.0
Orthodox,Ontario,51,Working for pay full-time,Female,Bachelor degree,Fewer immigrants,Immigrant,Stayed about the same,2,Liberal,Neither agree nor disagree,Somewhat disagree,Strongly disagree,49,1.0,1.0,3.0,2.0
Atheist,Saskatchewan,73,Unemployed/ looking for work,Female,No schooling,Fewer immigrants,Canadian,Stayed about the same,2,NDP,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,27,1.0,2.0,3.0,3.0
Atheist,Quebec,70,Working for pay full-time,Female,Bachelor degree,More immigrants,Canadian,Stayed about the same,1,Bloc Québécois,Somewhat agree,Strongly disagree,Strongly disagree,30,3.0,1.0,4.0,1.0
Atheist,Ontario,71,Working for pay full-time,Male,Bachelor degree,More immigrants,Canadian,Got better,1,Liberal,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,29,3.0,2.0,3.0,3.0
Hindu,Ontario,51,Working for pay full-time,Female,Professional degree or doctorate,About the same number of immigrants as now,Immigrant,Got worse,2,Conservative,Somewhat agree,Somewhat agree,Neither agree nor disagree,49,2.0,3.0,4.0,4.0
Protestant,Alberta,46,Working for pay full-time,Female,Professional degree or doctorate,About the same number of immigrants as now,Canadian,Got better,3,Conservative,Somewhat agree,Neither agree nor disagree,Strongly disagree,54,2.0,1.0,4.0,3.0
Atheist,Quebec,59,Working for pay full-time,Male,Bachelor degree,More immigrants,Canadian,Stayed about the same,3,Bloc Québécois,Somewhat agree,Strongly disagree,Strongly disagree,41,3.0,1.0,4.0,1.0
Atheist,Ontario,31,Retired,Male,Professional degree or doctorate,About the same number of immigrants as now,Immigrant,Stayed about the same,2,Green Party,Somewhat agree,Somewhat agree,Strongly disagree,69,2.0,1.0,4.0,4.0
Atheist,Quebec,45,Working for pay full-time,Male,Some technical,More immigrants,Canadian,Stayed about the same,2,NDP,Strongly agree,Neither agree nor disagree,Strongly disagree,55,3.0,1.0,5.0,3.0
Atheist,Quebec,73,Working for pay full-time,Female,Master degree,About the same number of immigrants as now,Canadian,Stayed about the same,2,NDP,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,27,2.0,3.0,3.0,2.0
Catholic,Quebec,71,Working for pay full-time,Female,Bachelor degree,About the same number of immigrants as now,Canadian,Stayed about the same,2,Bloc Québécois,Strongly agree,Neither agree nor disagree,Strongly disagree,29,2.0,1.0,5.0,3.0
Baptist,Ontario,57,Caring for a family,Female,Completed technical,About the same number of immigrants as now,Canadian,Stayed about the same,2,Conservative,Somewhat agree,Somewhat disagree,Somewhat disagree,43,2.0,2.0,4.0,2.0
Catholic,Quebec,43,Working for pay full-time,Male,Completed technical,Fewer immigrants,Canadian,Got worse,2,Bloc Québécois,Strongly agree,Somewhat agree,Somewhat agree,57,1.0,4.0,5.0,4.0
Catholic,Quebec,28,Retired,Male,Some secondary/ high school,About the same number of immigrants as now,Canadian,Stayed about the same,2,Bloc Québécois,Strongly agree,Neither agree nor disagree,Somewhat disagree,72,2.0,2.0,5.0,3.0
Catholic,Quebec,57,Working for pay full-time,Male,Some university,Fewer immigrants,Immigrant,Stayed about the same,2,NDP,Strongly agree,Strongly disagree,Somewhat disagree,43,1.0,2.0,5.0,1.0
Catholic,Quebec,50,Working for pay full-time,Male,Bachelor degree,Fewer immigrants,Canadian,Stayed about the same,2,Conservative,Strongly agree,Strongly agree,Somewhat agree,50,1.0,4.0,5.0,5.0
Atheist,Quebec,70,Working for pay full-time,Female,Bachelor degree,About the same number of immigrants as now,Canadian,Stayed about the same,3,Green Party,Somewhat agree,Strongly disagree,Strongly disagree,30,2.0,1.0,4.0,1.0
Catholic,Quebec,23,Retired,Male,Completed secondary/ high school,Fewer immigrants,Canadian,Stayed about the same,2,Bloc Québécois,Strongly agree,Somewhat disagree,Somewhat agree,77,1.0,4.0,5.0,2.0
Catholic,Quebec,51,Working for pay full-time,Male,Completed secondary/ high school,About the same number of immigrants as now,Canadian,Stayed about the same,2,Bloc Québécois,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,49,2.0,3.0,4.0,3.0
Catholic,Quebec,37,Working for pay full-time,Female,Completed secondary/ high school,About the same number of immigrants as now,Canadian,Got better,2,Liberal,Strongly agree,Neither agree nor disagree,Strongly disagree,63,2.0,1.0,5.0,3.0
Atheist,Quebec,69,Working for pay full-time,Female,Some university,About the same number of immigrants as now,Canadian,Got worse,1,Conservative,Somewhat agree,Neither agree nor disagree,Strongly disagree,31,2.0,1.0,4.0,3.0
